Q,semantic_similarity,cola_score,silhouette_score
CSCommon Humanity11,0.7675208449363708,0.8984939251095057,0.4880307506431233
CSCommon Humanity15,0.8219617307186127,0.9703114368021488,0.6831123612143777
CSCommon Humanity17,0.6862748265266418,0.9709701845422388,0.6976901346986945
CSCommon Humanity20,0.8997751027345657,0.9695893915163147,0.5701769563284788
CSDisengagement1,0.816734254360199,0.9660752015188336,0.3423116772689603
CSDisengagement19,0.7096840739250183,0.9739093612879516,0.6067183464765549
CSDisengagement23,0.7900819033384323,0.9786267085000872,0.5356294092806902
CSDisengagement7,0.6531835049390793,0.970023848116398,0.49737308648499573
CSIndifference12,0.4112589284777641,0.9121042974293232,0.42829351038248703
CSIndifference14,0.6494566947221756,0.8288456810017428,0.3407405682585456
CSIndifference18,0.658731684088707,0.9513077177107334,0.6618115654723211
CSIndifference2,0.8527618646621704,0.8848350991805396,0.4887670688331127
CSKindness16,0.6025333106517792,0.8938736628208841,0.5087405890226364
CSKindness24,0.653207391500473,0.9240192717739515,0.63777206228538
CSKindness6,0.564811110496521,0.9036137791616577,0.5931979038498618
CSKindness8,0.5415370613336563,0.773696503468922,0.5870962522246621
CSMindfulness13,0.9314479529857635,0.7613781103864312,0.6490362963893197
CSMindfulness21,0.8745262324810028,0.95303937420249,0.6105098480528052
CSMindfulness4,0.8470003455877304,0.9781185016036034,0.5761083554137837
CSMindfulness9,0.8384303599596024,0.8498231125995517,0.2539003928276626
CSSeparation10,0.889970526099205,0.888272238895297,0.44823040474544873
CSSeparation22,0.8796948045492172,0.9569594357162714,0.41669282994487067
CSSeparation3,0.8561777919530869,0.9571243468672036,0.6029662191867828
CSSeparation5,0.9469179511070251,0.9092936534434556,0.6092009436000477
